Map ID,Division,Code,Level,Description,Keyword 1,Weight 1,Keyword 2,Weight 2,Keyword 3,Weight 3,Keyword 4,Weight 4,Keyword 5,Weight 5,Project Elements Data
,03,03 05 00,3,Common Work Results for Concrete,Concrete,1,,2,,1,,1,,1,
,03,03 08 00,3,Commissioning of Concrete,Concrete,1,,1,,1,,1,,1,
,03,03 10 00,3,Concrete Forming and Accessories,Concrete,1,,1,,1,,1,,1,
,03,03 11 00,3,Concrete Forming,Concrete,1,,1,,1,,1,,1,
,03,03 11 13,4,Structural Cast-in-Place Concrete Forming,Concrete,1,,1,,1,,1,,1,
,03,03 11 13.13,5,Concrete Slip Forming,Concrete,1,,1,,1,,1,,1,
,03,03 11 13.16,5,Concrete Shoring,Concrete,1,,1,,1,,1,,1,
,03,03 11 13.19,5,Falsework,Concrete,1,,1,,1,,1,,1,
,03,03 11 16,4,Architectural Cast-in Place Concrete Forming,Concrete,1,,1,,1,,1,,1,
,03,03 11 16.13,5,Concrete Form Liners,Concrete,1,,1,,1,,1,,1,
,03,03 11 19,4,Insulating Concrete Forming,Concrete,1,,1,,1,,1,,1,
,03,03 11 23,4,Permanent Stair Forming,Concrete,1,,1,,1,,1,,1,
,03,03 15 00,3,Concrete Accessories,Concrete,1,,1,,1,,1,,1,
,03,03 15 13,4,Waterstops,Concrete,1,,1,,1,,1,,1,
,03,03 15 13.13,5,Non-Expanding Waterstops,Concrete,1,,1,,1,,1,,1,
,03,03 15 13.16,5,Expanding Waterstops,Concrete,1,,1,,1,,1,,1,
,03,03 15 13.19,5,Combination Expanding and Injection Hose Waterstops,Concrete,1,,1,,1,,1,,1,
,03,03 15 13.21,5,Injection Hose Waterstops,Concrete,1,,1,,1,,1,,1,
,03,03 15 16,4,Concrete Construction Joints,Concrete,1,,1,,1,,1,,1,
,03,03 20 00,3,Concrete Reinforcing,Concrete,1,,1,,1,,1,,1,
,03,03 21 00,3,Reinforcement Bars,Concrete,1,,1,,1,,1,,1,
