Map ID,Division,Code,Description,Level,Keyword 1,Weight 1,Keyword 2,Weight 2,Keyword 3,Weight 3,Keyword 4,Weight 4,Keyword 5,Weight 5,Project Elements Data
,01,01 00 00,General Requirements,2,,1,,1,,1,,1,,1,
,01,01 30 00,Administrative Requirements,3,,1,,1,,1,,1,,1,
,01,01 31 00,Project Management and Coordination,3,,1,,1,,1,,1,,1,
,01,01 31 13,Project Coordination,4,,1,,1,,1,,1,,1,
,01,01 31 14,Facility Services Coordination,4,,1,,1,,1,,1,,1,
,01,01 31 16,Multiple Contract Coordination,4,,1,,1,,1,,1,,1,
,01,01 31 19,Project Meetings,4,,1,,1,,1,,1,,1,
,01,01 31 19.13,Preconstruction Meetings,5,,1,,1,,1,,1,,1,
,01,01 31 19.16,Site Mobilization Meetings,5,,1,,1,,1,,1,,1,
,01,01 31 19.23,Progress Meetings,5,,1,,1,,1,,1,,1,
,01,01 31 19.33,Preinstallation Meetings,5,,1,,1,,1,,1,,1,
,01,01 31 23,Project Web Site,4,,1,,1,,1,,1,,1,
,01,01 31 26,Electronic Communication Protocols,4,,1,,1,,1,,1,,1,
,01,01 32 00,Construction Progress Documentation,3,,1,,1,,1,,1,,1,
,01,01 32 13,Scheduling of Work,4,,1,,1,,1,,1,,1,
,01,01 32 16,Construction Progress Schedule,4,,1,,1,,1,,1,,1,
,01,01 32 16.13,Network Analysis Schedules,5,,1,,1,,1,,1,,1,
,01,01 32 19,Submittals Schedule,4,,1,,1,,1,,1,,1,
,01,01 32 23,Survey and Layout Data,4,,1,,1,,1,,1,,1,
,01,01 32 26,Construction Progress Reporting,4,,1,,1,,1,,1,,1,
,01,01 32 29,Periodic Work Observation,4,,1,,1,,1,,1,,1,
,01,01 32 33,Photographic Documentation,4,,1,,1,,1,,1,,1,
,01,01 32 36,Video Monitoring and Documentation,4,,1,,1,,1,,1,,1,
,01,01 32 43,Purchase Order Tracking,4,,1,,1,,1,,1,,1,
,01,01 35 00,Special Procedures,3,,1,,1,,1,,1,,1,
,01,01 35 13,Special Project Procedures,4,,1,,1,,1,,1,,1,
,01,01 35 13.13,Special Project Procedures for Airport Facilities,5,,1,,1,,1,,1,,1,
,01,01 35 13.16,Special Project Procedures for Detention Facilities,5,,1,,1,,1,,1,,1,
,01,01 35 13.19,Special Project Procedures for Health care Facilities,5,,1,,1,,1,,1,,1,
,01,01 35 13.26,Special Project Procedures for Clean Rooms,5,,1,,1,,1,,1,,1,
,01,01 35 13.43,Special Project Procedures for Contaminated Sites,5,,1,,1,,1,,1,,1,
,01,01 35 16,Alteration Project Procedures,4,,1,,1,,1,,1,,1,
,01,01 35 23,Owner Safety Requirements,4,,1,,1,,1,,1,,1,
,01,01 35 26,Governmental Safety Requirements,4,,1,,1,,1,,1,,1,
,01,01 35 29,"Health, Safety, and Emergency Response Procedures",4,,1,,1,,1,,1,,1,
,01,01 35 29.13,"Health, Safety, and Emergency Response Procedures for Contaminated Sites",5,,1,,1,,1,,1,,1,
,01,01 35 33,Infection Control Procedures,4,,1,,1,,1,,1,,1,
,01,01 35 43,Environmental Procedures,4,,1,,1,,1,,1,,1,
,01,01 35 43.13,Environmental Procedures for Hazardous Materials,5,,1,,1,,1,,1,,1,
,01,01 35 43.16,Environmental Procedures for Toxic Materials,5,,1,,1,,1,,1,,1,
,01,01 35 46,Indoor Air Quality Procedures,4,,1,,1,,1,,1,,1,
,01,01 35 53,Security Procedures,4,,1,,1,,1,,1,,1,
,01,01 35 63,Sustainability Certification Project Requirements,4,,1,,1,,1,,1,,1,
,01,01 35 66,Sustainability Certification Project Procedures,4,,1,,1,,1,,1,,1,
,01,01 35 91,Historic Treatment Procedures,4,,1,,1,,1,,1,,1,
,01,01 50 00,Temporary Facilities and Controls,3,,1,,1,,1,,1,,1,
,01,01 51 00,Temporary Utilities,3,,1,,1,,1,,1,,1,
,01,01 51 13,Temporary Electricity,4,,1,,1,,1,,1,,1,
,01,01 51 16,Temporary Fire Protection,4,,1,,1,,1,,1,,1,
,01,01 51 19,Temporary Fuel Oil,4,,1,,1,,1,,1,,1,
,01,01 51 23,"Temporary Heating, Cooling, and Ventilating",4,,1,,1,,1,,1,,1,
,01,01 51 26,Temporary Lighting,4,,1,,1,,1,,1,,1,
,01,01 51 29,Temporary Natural-Gas,4,,1,,1,,1,,1,,1,
,01,01 51 33,Temporary Telecommunications,4,,1,,1,,1,,1,,1,
,01,01 51 36,Temporary Water,4,,1,,1,,1,,1,,1,
,01,01 52 00,Construction Facilities,3,,1,,1,,1,,1,,1,
,01,01 52 13,Field Offices and Sheds,4,,1,,1,,1,,1,,1,
,01,01 52 16,First Aid Facilities,4,,1,,1,,1,,1,,1,
,01,01 52 19,Sanitary Facilities,4,,1,,1,,1,,1,,1,
,01,01 53 00,Temporary Construction,3,,1,,1,,1,,1,,1,
,01,01 53 13,Temporary Bridges,4,,1,,1,,1,,1,,1,
,01,01 53 16,Temporary Decking,4,,1,,1,,1,,1,,1,
,01,01 53 19,Temporary Overpasses,4,,1,,1,,1,,1,,1,
,01,01 53 23,Temporary Ramps,4,,1,,1,,1,,1,,1,
,01,01 53 26,Temporary Runarounds,4,,1,,1,,1,,1,,1,
,01,01 54 00,Construction Aids,3,,1,,1,,1,,1,,1,
,01,01 54 13,Temporary Elevators,4,,1,,1,,1,,1,,1,
,01,01 54 16,Temporary Hoists,4,,1,,1,,1,,1,,1,
,01,01 54 19,Temporary Cranes,4,,1,,1,,1,,1,,1,
,01,01 54 23,Temporary Scaffolding and Platforms,4,,1,,1,,1,,1,,1,
,01,01 54 26,Temporary Swing Staging,4,,1,,1,,1,,1,,1,
,01,01 55 00,Vehicular Access and Parking,3,,1,,1,,1,,1,,1,
,01,01 55 13,Temporary Access Roads,4,,1,,1,,1,,1,,1,
,01,01 55 16,Haul Routes,4,,1,,1,,1,,1,,1,
,01,01 55 19,Temporary Parking Areas,4,,1,,1,,1,,1,,1,
,01,01 55 23,Temporary Roads,4,,1,,1,,1,,1,,1,
,01,01 55 26,Traffic Control,4,,1,,1,,1,,1,,1,
,01,01 55 29,Staging Areas,4,,1,,1,,1,,1,,1,
,01,01 56 00,Temporary Barriers and Enclosures,3,,1,,1,,1,,1,,1,
,01,01 56 13,Temporary Air Barriers,4,,1,,1,,1,,1,,1,
,01,01 56 16,Temporary Dust Barriers,4,,1,,1,,1,,1,,1,
,01,01 56 19,Temporary Noise Barriers,4,,1,,1,,1,,1,,1,
,01,01 56 23,Temporary Barricades,4,,1,,1,,1,,1,,1,
,01,01 56 26,Temporary Fencing,4,,1,,1,,1,,1,,1,
,01,01 56 29,Temporary Protective Walkways,4,,1,,1,,1,,1,,1,
,01,01 56 33,Temporary Security Barriers,4,,1,,1,,1,,1,,1,
,01,01 56 36,Temporary Security Enclosures,4,,1,,1,,1,,1,,1,
,01,01 56 39,Temporary Tree and Plant Protection,4,,1,,1,,1,,1,,1,
,01,01 57 00,Temporary Controls,3,,1,,1,,1,,1,,1,
,01,01 57 13,Temporary Erosion and Sediment Control,4,,1,,1,,1,,1,,1,
,01,01 57 16,Temporary Pest Control,4,,1,,1,,1,,1,,1,
,01,01 57 19,Temporary Environmental Controls,4,,1,,1,,1,,1,,1,
,01,01 57 23,Temporary Storm Water Pollution Control,4,,1,,1,,1,,1,,1,
,01,01 58 00,Project Identification,3,,1,,1,,1,,1,,1,
,01,01 58 13,Temporary Project Signage,4,,1,,1,,1,,1,,1,
,01,01 58 16,Temporary Interior Signage,4,,1,,1,,1,,1,,1,
,01,01 70 00,Execution and Closeout Requirements,3,,1,,1,,1,,1,,1,
,01,01 71 00,Examination and Preparation,3,,1,,1,,1,,1,,1,
,01,01 71 13,Mobilization,4,,1,,1,,1,,1,,1,
,01,01 71 16,Acceptance of Conditions,4,,1,,1,,1,,1,,1,
,01,01 71 23,Field Engineering,4,,1,,1,,1,,1,,1,
,01,01 71 23.13,Construction Layout,5,,1,,1,,1,,1,,1,
,01,01 71 23.16,Construction Surveying,5,,1,,1,,1,,1,,1,
,01,01 71 33,Protection of Adjacent Construction,4,,1,,1,,1,,1,,1,
,01,01 73 00,Execution,3,,1,,1,,1,,1,,1,
,01,01 73 13,Application,4,,1,,1,,1,,1,,1,
,01,01 73 16,Erection,4,,1,,1,,1,,1,,1,
,01,01 73 19,Installation,4,,1,,1,,1,,1,,1,
,01,01 73 23,Bracing and Anchoring,4,,1,,1,,1,,1,,1,
,01,01 73 26,Existing Products,4,,1,,1,,1,,1,,1,
,01,01 73 29,Cutting and Patching,4,,1,,1,,1,,1,,1,
,01,01 74 00,Cleaning and Waste Management,3,,1,,1,,1,,1,,1,
,01,01 74 13,Progress Cleaning,4,,1,,1,,1,,1,,1,
,01,01 74 16,Site Maintenance,4,,1,,1,,1,,1,,1,
,01,01 74 19,Construction Waste Management and Disposal,4,,1,,1,,1,,1,,1,
,01,01 74 23,Final Cleaning,4,,1,,1,,1,,1,,1,
,01,01 75 00,Starting and Adjusting,3,,1,,1,,1,,1,,1,
,01,01 75 13,Checkout Procedures,4,,1,,1,,1,,1,,1,
,01,01 75 16,Startup Procedures,4,,1,,1,,1,,1,,1,
,01,01 76 00,Protecting Installed Construction,3,,1,,1,,1,,1,,1,
,01,01 77 00,Closeout Procedures,3,,1,,1,,1,,1,,1,
,01,01 77 13,Preliminary Closeout Reviews,4,,1,,1,,1,,1,,1,
,01,01 77 16,Final Closeout Review,4,,1,,1,,1,,1,,1,
,01,01 77 19,Closeout Requirements,4,,1,,1,,1,,1,,1,
,01,01 78 00,Closeout Submittals,3,,1,,1,,1,,1,,1,
,01,01 78 13,Completion and Correction List,4,,1,,1,,1,,1,,1,
,01,01 78 19,Maintenance Contracts,4,,1,,1,,1,,1,,1,
,01,01 78 23,Operation and Maintenance Data,4,,1,,1,,1,,1,,1,
,01,01 78 23.13,Operation Data,5,,1,,1,,1,,1,,1,
,01,01 78 23.16,Maintenance Data,5,,1,,1,,1,,1,,1,
,01,01 78 23.19,Preventative Maintenance Instructions,5,,1,,1,,1,,1,,1,
,01,01 78 29,Final Site Survey,4,,1,,1,,1,,1,,1,
,01,01 78 33,Bonds,4,,1,,1,,1,,1,,1,
,01,01 78 36,Warranties,4,,1,,1,,1,,1,,1,
,01,01 78 39,Project Record Documents,4,,1,,1,,1,,1,,1,
,01,01 78 43,Spare Parts,4,,1,,1,,1,,1,,1,
,01,01 78 46,Extra Stock Materials,4,,1,,1,,1,,1,,1,
,01,01 78 53,Sustainable Design Closeout Documentation,4,,1,,1,,1,,1,,1,
,01,01 79 00,Demonstration and Training,3,,1,,1,,1,,1,,1,
,01,01 90 00,Life Cycle Activities,3,,1,,1,,1,,1,,1,
,01,01 91 00,Commissioning,3,,1,,1,,1,,1,,1,
,01,01 91 13,General Commissioning Requirements,4,,1,,1,,1,,1,,1,
,01,01 91 16,Facility Substructure Commissioning,4,,1,,1,,1,,1,,1,
,01,01 91 16.13,Foundation Commissioning,5,,1,,1,,1,,1,,1,
,01,01 91 16.53,Basement Construction Commissioning,5,,1,,1,,1,,1,,1,
,01,01 91 19,Facility Shell Commissioning,4,,1,,1,,1,,1,,1,
,01,01 91 19.13,Superstructure Commissioning,5,,1,,1,,1,,1,,1,
,01,01 91 19.43,Exterior Enclosure Commissioning,5,,1,,1,,1,,1,,1,
,01,01 91 19.73,Roofing Commissioning,5,,1,,1,,1,,1,,1,
,01,01 91 23,Interiors Commissioning,4,,1,,1,,1,,1,,1,
,01,01 91 23.13,Interior Construction Commissioning,5,,1,,1,,1,,1,,1,
,01,01 91 23.43,Stairways Commissioning,5,,1,,1,,1,,1,,1,
,01,01 91 23.73,Interior Finishes Commissioning,5,,1,,1,,1,,1,,1,
,01,01 92 00,Facility Operation,3,,1,,1,,1,,1,,1,
,01,01 92 13,Facility Operation Procedures,4,,1,,1,,1,,1,,1,
,01,01 93 00,Facility Maintenance,3,,1,,1,,1,,1,,1,
,01,01 93 13,Facility Maintenance Procedures,4,,1,,1,,1,,1,,1,
,01,01 93 16,Recycling Programs,4,,1,,1,,1,,1,,1,
,01,01 94 00,Facility Decommissioning,3,,1,,1,,1,,1,,1,
,01,01 94 13,Facility Decommissioning Procedures,4,,1,,1,,1,,1,,1,
,02,02 00 00,Existing Conditions,2,,1,,1,,1,,1,,1,
,02,02 01 00,Maintenance of Existing Conditions,3,,1,,1,,1,,1,,1,
,02,02 01 50,Maintenance of Site Remediation,4,,1,,1,,1,,1,,1,
,02,02 01 65,Maintenance of Underground Storage Tank Removal,4,,1,,1,,1,,1,,1,
,02,02 01 80,Maintenance of Facility Remediation,4,,1,,1,,1,,1,,1,
,02,02 01 86,Maintenance of Hazardous Waste Drum Handling,4,,1,,1,,1,,1,,1,
,02,02 05 00,Common Work Results for Existing Conditions,3,,1,,1,,1,,1,,1,
,02,02 05 19,Geosynthetics for Existing Conditions,4,,1,,1,,1,,1,,1,
,02,02 05 19.13,Geotextiles for Existing Conditions,5,,1,,1,,1,,1,,1,
,02,02 05 19.16,Geomembranes for Existing Conditions,5,,1,,1,,1,,1,,1,
,02,02 05 19.19,Geogrids for Existing Conditions,5,,1,,1,,1,,1,,1,
,02,02 08 00,Commissioning of Existing Conditions,3,,1,,1,,1,,1,,1,
