GUID,ItemName,ElementName,ElementType,ElementCategory,ElementFamily Name,ElementSystem Classification,CADmep+Service,CADmep+Service Type,ElementFabrication Service Name,ElementSize,ElementNominal Diameter,ElementArea,CADmep+Area,ElementLength,CADmep+Length/Angle,AttributesLength,AutoCadLength,ElementWeight,Tekla QuantityWeight,CADmep+Weight,SDS2_GeneralMember_Net_Weight,Code,Description
05add298-6644-4321-a9fb-9d02445dd22b,Basic Wall,Exterior Concrete-9,"WallType ""Exterior Concrete-9"", #3813428",Walls,,,,,,,,24.563,,,,,,,,,,03 30 00,Cast-in-Place Concrete
05add298-6644-4321-a9fb-9d02445dd317,Basic Wall,Exterior Concrete-9,"WallType ""Exterior Concrete-9"", #3813428",Walls,,,,,,,,387.32,,,,,,,,,,03 30 00,Cast-in-Place Concrete
05add298-6644-4321-a9fb-9d02445dd3ba,Basic Wall,Exterior Concrete-9,"WallType ""Exterior Concrete-9"", #3813428",Walls,,,,,,,,56.691,,,,,,,,,,03 30 00,Cast-in-Place Concrete
05add298-6644-4321-a9fb-9d02445dd448,Basic Wall,Exterior Concrete-9,"WallType ""Exterior Concrete-9"", #3813428",Walls,,,,,,,,304.92,,,,,,,,,,03 30 00,Cast-in-Place Concrete
0a14bd23-ca36-45f8-8481-8dfbd788d52a,Basic Wall,Exterior Precast-7 Type 1,"WallType ""Exterior Precast-7 Type 1"", #3904376",Walls,,,,,,,,4265.162,,,,,,,,,,09 22 16,Non-Structural Metal Framing
17963ead-f2b3-43ad-ad7f-a8272837166d,Basic Wall,Exterior Concrete-9,"WallType ""Exterior Concrete-9"", #3813428",Walls,,,,,,,,13.532,,,,,,,,,,03 30 00,Cast-in-Place Concrete
17963ead-f2b3-43ad-ad7f-a82728371755,Basic Wall,Exterior Concrete-8,"WallType ""Exterior Concrete-8"", #2513689",Walls,,,,,,,,50.651,,,,,,,,,,03 30 00,Cast-in-Place Concrete
17963ead-f2b3-43ad-ad7f-a82728371756,Basic Wall,Exterior Concrete-8,"WallType ""Exterior Concrete-8"", #2513689",Walls,,,,,,,,5.787,,,,,,,,,,03 30 00,Cast-in-Place Concrete
231842b7-aada-4a12-8407-59c24691889f,Basic Wall,Exterior Concrete-9,"WallType ""Exterior Concrete-9"", #3813428",Walls,,,,,,,,172.526,,,,,,,,,,03 30 00,Cast-in-Place Concrete
3543d68e-6314-457e-a167-7657da8f5936,Basic Wall,Exterior Concrete-9,"WallType ""Exterior Concrete-9"", #3813428",Walls,,,,,,,,4.75,,,,,,,,,,03 30 00,Cast-in-Place Concrete
6f772a5b-bf8d-4027-bb85-f3a754b59853,Basic Wall,Exterior Concrete-9,"WallType ""Exterior Concrete-9"", #3813428",Walls,,,,,,,,7.752,,,,,,,,,,03 30 00,Cast-in-Place Concrete
6f772a5b-bf8d-4027-bb85-f3a754b59870,Basic Wall,Exterior Concrete-9,"WallType ""Exterior Concrete-9"", #3813428",Walls,,,,,,,,44.792,,,,,,,,,,03 30 00,Cast-in-Place Concrete
790e7443-a331-4b52-baba-f16b3ecd67f5,Basic Wall,Exterior Concrete-9.5,"WallType ""Exterior Concrete-9.5"", #2977310",Walls,,,,,,,,10.363,,,,,,,,,,03 30 00,Cast-in-Place Concrete
790e7443-a331-4b52-baba-f16b3ecd682f,Basic Wall,Exterior Concrete-9,"WallType ""Exterior Concrete-9"", #3813428",Walls,,,,,,,,41.409,,,,,,,,,,03 30 00,Cast-in-Place Concrete
790e7443-a331-4b52-baba-f16b3ecd69fa,Basic Wall,Exterior Concrete-9,"WallType ""Exterior Concrete-9"", #3813428",Walls,,,,,,,,295,,,,,,,,,,03 30 00,Cast-in-Place Concrete
8dccecc4-f044-4046-8b9e-0138cdf904a8,Basic Wall,Exterior Concrete-9,"WallType ""Exterior Concrete-9"", #3813428",Walls,,,,,,,,20.876,,,,,,,,,,03 30 00,Cast-in-Place Concrete
a3a58cc8-3732-41af-937a-96143f6ddd20,Basic Wall,Exterior Concrete-9,"WallType ""Exterior Concrete-9"", #3813428",Walls,,,,,,,,10.537,,,,,,,,,,03 30 00,Cast-in-Place Concrete
ce838dcf-b015-41d8-b7f4-f827c0883744,Basic Wall,Exterior Concrete-9,"WallType ""Exterior Concrete-9"", #3813428",Walls,,,,,,,,329.031,,,,,,,,,,03 30 00,Cast-in-Place Concrete
ce838dcf-b015-41d8-b7f4-f827c088385e,Basic Wall,Exterior Concrete-9,"WallType ""Exterior Concrete-9"", #3813428",Walls,,,,,,,,778.149,,,,,,,,,,03 30 00,Cast-in-Place Concrete
d7b5dee7-fba9-468b-ab8e-d22690a308ee,Basic Wall,Exterior Concrete-9,"WallType ""Exterior Concrete-9"", #3813428",Walls,,,,,,,,17.875,,,,,,,,,,03 30 00,Cast-in-Place Concrete
d7b5dee7-fba9-468b-ab8e-d22690a30963,Basic Wall,Exterior Concrete-9,"WallType ""Exterior Concrete-9"", #3813428",Walls,,,,,,,,131.015,,,,,,,,,,03 30 00,Cast-in-Place Concrete
d7b5dee7-fba9-468b-ab8e-d22690a309d5,Basic Wall,Exterior Concrete-9,"WallType ""Exterior Concrete-9"", #3813428",Walls,,,,,,,,59.125,,,,,,,,,,03 30 00,Cast-in-Place Concrete
d7b5dee7-fba9-468b-ab8e-d22690a30abc,Basic Wall,Exterior Concrete-9,"WallType ""Exterior Concrete-9"", #3813428",Walls,,,,,,,,46.142,,,,,,,,,,03 30 00,Cast-in-Place Concrete
d7b5dee7-fba9-468b-ab8e-d22690a30adc,Basic Wall,Exterior Concrete-9,"WallType ""Exterior Concrete-9"", #3813428",Walls,,,,,,,,19.75,,,,,,,,,,03 30 00,Cast-in-Place Concrete
d7b5dee7-fba9-468b-ab8e-d22690a37427,Basic Wall,Exterior Concrete-9,"WallType ""Exterior Concrete-9"", #3813428",Walls,,,,,,,,386.77,,,,,,,,,,03 30 00,Cast-in-Place Concrete
da84fdbe-b04a-44e8-bd60-aa33a5f3653f,Basic Wall,Exterior Stud-6,"WallType ""Exterior Stud-6"", #3110147",Walls,,,,,,,,1.124,,,,,,,,,,09 22 16,Non-Structural Metal Framing
da84fdbe-b04a-44e8-bd60-aa33a5f3657c,Basic Wall,Exterior Stud-6,"WallType ""Exterior Stud-6"", #3110147",Walls,,,,,,,,17.684,,,,,,,,,,09 22 16,Non-Structural Metal Framing
287f260a-7a5a-4c2c-b824-bb3c12ae4caa,P1000 Vertical Symbol attempt,P1000 Vertical Symbol attempt,"FamilySymbol ""P1000 Vertical Symbol attempt"", #298556",Structural Columns,,,,,,,,,,,,,,,,,,03 31 00,Structural Concrete
287f260a-7a5a-4c2c-b824-bb3c12ae4cd5,Double Channel Strut Ver 3,P1001,"FamilySymbol ""P1001"", #409646",Structural Framing,,,,,,,,,,,,,,,,,,05 21 23,Steel Joist Girder Framing
287f260a-7a5a-4c2c-b824-bb3c12ae4d4b,P1000 Vertical Symbol attempt,P1000 Vertical Symbol attempt,"FamilySymbol ""P1000 Vertical Symbol attempt"", #298556",Structural Columns,,,,,,,,,,,,,,,,,,03 31 00,Structural Concrete
287f260a-7a5a-4c2c-b824-bb3c12ae4fdc,Double Channel Strut Ver 3,P1001,"FamilySymbol ""P1001"", #409646",Structural Framing,,,,,,,,,,,,,,,,,,05 21 23,Steel Joist Girder Framing
287f260a-7a5a-4c2c-b824-bb3c12ae50e1,Double Channel Strut Ver 3,P1001,"FamilySymbol ""P1001"", #409646",Structural Framing,,,,,,,,,,,,,,,,,,05 21 23,Steel Joist Girder Framing
287f260a-7a5a-4c2c-b824-bb3c12ae5290,P1000 Vertical Symbol attempt,P1000 Vertical Symbol attempt,"FamilySymbol ""P1000 Vertical Symbol attempt"", #298556",Structural Columns,,,,,,,,,,,,,,,,,,03 31 00,Structural Concrete
287f260a-7a5a-4c2c-b824-bb3c12ae52b2,P1000 Vertical Symbol attempt,P1000 Vertical Symbol attempt,"FamilySymbol ""P1000 Vertical Symbol attempt"", #298556",Structural Columns,,,,,,,,,,,,,,,,,,03 31 00,Structural Concrete
74db70c8-5a89-4d5e-9868-bca115194314,Upper Bracket,Upper Bracket,"FamilySymbol ""Upper Bracket"", #455587",Generic Models,,,,,,,,1.301,,,,,,,,,,22 05 29,Hangers and Supports for Plumbing Piping and Equipment
74db70c8-5a89-4d5e-9868-bca11519433a,Single Channel Strut Ver 1,P5500,"FamilySymbol ""P5500"", #408103",Structural Framing,,,,,,,,,,,,,,,,,,05 21 23,Steel Joist Girder Framing
74db70c8-5a89-4d5e-9868-bca115194342,Single Channel Strut Ver 1,P5500,"FamilySymbol ""P5500"", #408103",Structural Framing,,,,,,,,,,,,,,,,,,05 21 23,Steel Joist Girder Framing
74db70c8-5a89-4d5e-9868-bca115194345,Single Channel Strut Ver 1,P5500,"FamilySymbol ""P5500"", #408103",Structural Framing,,,,,,,,,,,,,,,,,,05 21 23,Steel Joist Girder Framing
74db70c8-5a89-4d5e-9868-bca115194349,Single Channel Strut Ver 1,P5500,"FamilySymbol ""P5500"", #408103",Structural Framing,,,,,,,,,,,,,,,,,,05 21 23,Steel Joist Girder Framing
74db70c8-5a89-4d5e-9868-bca11519434c,Single Channel Strut Ver 1,P5500,"FamilySymbol ""P5500"", #408103",Structural Framing,,,,,,,,,,,,,,,,,,05 21 23,Steel Joist Girder Framing
74db70c8-5a89-4d5e-9868-bca11519434f,Single Channel Strut Ver 1,P5500,"FamilySymbol ""P5500"", #408103",Structural Framing,,,,,,,,,,,,,,,,,,05 21 23,Steel Joist Girder Framing
74db70c8-5a89-4d5e-9868-bca115194353,Upper Bracket,Upper Bracket,"FamilySymbol ""Upper Bracket"", #455587",Generic Models,,,,,,,,1.301,,,,,,,,,,22 05 29,Hangers and Supports for Plumbing Piping and Equipment
74db70c8-5a89-4d5e-9868-bca115194356,Single Channel Strut Ver 1,P5500,"FamilySymbol ""P5500"", #408103",Structural Framing,,,,,,,,,,,,,,,,,,05 21 23,Steel Joist Girder Framing
74db70c8-5a89-4d5e-9868-bca11519436e,Upper Bracket,Upper Bracket,"FamilySymbol ""Upper Bracket"", #455587",Generic Models,,,,,,,,1.301,,,,,,,,,,22 05 29,Hangers and Supports for Plumbing Piping and Equipment
74db70c8-5a89-4d5e-9868-bca115194379,Upper Bracket,Upper Bracket,"FamilySymbol ""Upper Bracket"", #455587",Generic Models,,,,,,,,1.301,,,,,,,,,,22 05 29,Hangers and Supports for Plumbing Piping and Equipment
74db70c8-5a89-4d5e-9868-bca1151943c7,Single Channel Strut Ver 1,P5500,"FamilySymbol ""P5500"", #408103",Structural Framing,,,,,,,,,,,,,,,,,,05 21 23,Steel Joist Girder Framing
74db70c8-5a89-4d5e-9868-bca115194507,Double Channel Strut Ver 3,P1001,"FamilySymbol ""P1001"", #409646",Structural Framing,,,,,,,,,,,,,,,,,,05 21 23,Steel Joist Girder Framing
74db70c8-5a89-4d5e-9868-bca11519454c,Double Channel Strut Ver 3,P1001,"FamilySymbol ""P1001"", #409646",Structural Framing,,,,,,,,,,,,,,,,,,05 21 23,Steel Joist Girder Framing
74db70c8-5a89-4d5e-9868-bca11519454e,Double Channel Strut Ver 3,P1001,"FamilySymbol ""P1001"", #409646",Structural Framing,,,,,,,,,,,,,,,,,,05 21 23,Steel Joist Girder Framing
74db70c8-5a89-4d5e-9868-bca115194579,Double Channel Strut Ver 3,P1001,"FamilySymbol ""P1001"", #409646",Structural Framing,,,,,,,,,,,,,,,,,,05 21 23,Steel Joist Girder Framing
74db70c8-5a89-4d5e-9868-bca115194839,Double Channel Strut Ver 3,P1001,"FamilySymbol ""P1001"", #409646",Structural Framing,,,,,,,,,,,,,,,,,,05 21 23,Steel Joist Girder Framing
74db70c8-5a89-4d5e-9868-bca11519483b,Double Channel Strut Ver 3,P1001,"FamilySymbol ""P1001"", #409646",Structural Framing,,,,,,,,,,,,,,,,,,05 21 23,Steel Joist Girder Framing
74db70c8-5a89-4d5e-9868-bca1151948b4,P1000 Vertical Symbol attempt,P1000 Vertical Symbol attempt,"FamilySymbol ""P1000 Vertical Symbol attempt"", #298556",Structural Columns,,,,,,,,,,,,,,,,,,03 31 00,Structural Concrete
74db70c8-5a89-4d5e-9868-bca1151948f4,Double Channel Strut Ver 3,P1001,"FamilySymbol ""P1001"", #409646",Structural Framing,,,,,,,,,,,,,,,,,,05 21 23,Steel Joist Girder Framing
